country,state,city,is_popular,is_nearby
India,Chhattisgarh,Kotaparh,0,0
India,Chhattisgarh,Kumhari,0,0
India,Chhattisgarh,Kurud,0,0
India,Chhattisgarh,Lormi,0,0
India,Chhattisgarh,Mahasamund,0,0
India,Chhattisgarh,Mungeli,0,0
India,Chhattisgarh,Narayanpur,0,0
India,Chhattisgarh,Narharpur,0,0
India,Chhattisgarh,Pandaria,0,0
India,Chhattisgarh,Pandatarai,0,0
India,Chhattisgarh,Pasan,0,0
India,Chhattisgarh,Patan,0,0
India,Chhattisgarh,Pathalgaon,0,0
India,Chhattisgarh,Pendra,0,0
India,Chhattisgarh,Pithora,0,0
India,Chhattisgarh,Raigarh,0,0
India,Chhattisgarh,Raipur,0,0
India,Chhattisgarh,Raj Nandgaon,0,0
India,Chhattisgarh,Ramanuj Ganj,0,0
India,Chhattisgarh,Ratanpur,0,0
India,Chhattisgarh,Sakti,0,0
India,Chhattisgarh,Saraipali,0,0
India,Chhattisgarh,Sarangarh,0,0
India,Chhattisgarh,Seorinarayan,0,0
India,Chhattisgarh,Simga,0,0
India,Chhattisgarh,Surguja,0,0
India,Chhattisgarh,Takhatpur,0,0
India,Chhattisgarh,Umarkot,0,0
India,Chhattisgarh,Uttar Bastar Kanker,0,0
India,Dadra and Nagar Haveli and Daman and Diu,Amli,0,0
India,Dadra and Nagar Haveli and Daman and Diu,Dadra,0,0
India,Dadra and Nagar Haveli and Daman and Diu,Dadra & Nagar Haveli,0,0
India,Dadra and Nagar Haveli and Daman and Diu,Daman,0,0
India,Dadra and Nagar Haveli and Daman and Diu,Diu,0,0
India,Dadra and Nagar Haveli and Daman and Diu,Silvassa,0,0
India,Delhi,Alipur,0,0
India,Delhi,Bawana,0,0
India,Delhi,Central Delhi,0,1
India,Delhi,Delhi,1,0
India,Delhi,Deoli,0,0
India,Delhi,East Delhi,0,0
India,Delhi,Karol Bagh,0,0
India,Delhi,Najafgarh,0,0
India,Delhi,Nangloi Jat,0,0
India,Delhi,Narela,0,0
India,Delhi,New Delhi,0,0
India,Delhi,North Delhi,0,0
India,Delhi,North East Delhi,0,0
India,Delhi,North West Delhi,0,0
India,Delhi,Pitampura,0,0
India,Delhi,Rohini,0,0
India,Delhi,South Delhi,0,0
India,Delhi,South West Delhi,0,0
India,Delhi,West Delhi,0,0
India,Goa,Aldona,0,0
India,Goa,Arambol,0,0
India,Goa,Baga,0,0
India,Goa,Bambolim,0,0
India,Goa,Bandora,0,0
India,Goa,Benaulim,0,0
India,Goa,Calangute,0,0
India,Goa,Candolim,0,0
India,Goa,Carapur,0,0
India,Goa,Cavelossim,0,0
India,Goa,Chicalim,0,0
India,Goa,Chinchinim,0,0
India,Goa,Colovale,0,0
India,Goa,Colva,0,0
India,Goa,Cortalim,0,0
India,Goa,Cuncolim,0,0
India,Goa,Curchorem,0,0
India,Goa,Curti,0,0
India,Goa,Davorlim,0,0
India,Goa,Dicholi,0,0
India,Goa,Goa Velha,0,0
India,Goa,Guirim,1,0
India,Goa,Jua,0,0
India,Goa,Kankon,0,0
India,Goa,Madgaon,0,0
India,Goa,Mapuca,0,0
India,Goa,Morjim,0,0
India,Goa,Mormugao,0,0
India,Goa,Navelim,0,0
India,Goa,North Goa,0,0
India,Goa,Palle,0,0
India,Goa,Panaji,0,0
India,Goa,Pernem,0,0
India,Goa,Ponda,0,0
India,Goa,Quepem,0,0
India,Goa,Queula,0,0
India,Goa,Raia,0,0
India,Goa,Saligao,0,0
India,Goa,Sancoale,0,0
India,Goa,Sanguem,0,0
India,Goa,Sanquelim,0,0
India,Goa,Sanvordem,0,0
India,Goa,Serula,0,0
India,Goa,Solim,0,0
India,Goa,South Goa,0,0
India,Goa,Taleigao,0,0
India,Goa,Vagator,0,0
India,Goa,Valpoy,0,0
India,Goa,Varca,0,0
India,Goa,Vasco da Gama,0,0
India,Gujarat,Abrama,0,0
India,Gujarat,Adalaj,0,0
